Location,Status,URL,Address,Utilities,Bathroom,Bedroom,Rent_USD
"50 Dunfield Avenue, Toronto, ON M4S 3A4",,https://www.zumper.com/address/50-dunfield-ave-toronto-on-m4s-3a4-can,"50 Dunfield Avenue, Toronto, ON M4S 3A4","Garden,In Unit Laundry,Wheelchair Accessible",2 baths,3 beds,"$3,900,$3,599,Price drop"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=10,"115 Blue Jays Way, Toronto, ON M5V 0N4","High Ceilings,Dishwasher,$3,600",2 baths,3 beds,"$3,600"
"980 Broadview Avenue #608, Toronto, ON M4K 3Y1",,https://www.zumper.com/address/980-broadview-ave-toronto-on-m4k-3y1-can,"980 Broadview Avenue #608, Toronto, ON M4K 3Y1","Central Heat,Hardwood Floor,In Unit Laundry",2 baths,3 beds,"$3,600"
"53 Marowyne Drive, Toronto, ON M2J 2A6",,https://www.zumper.com/address/53-marowyne-dr-toronto-on-m2j-2a6-can,"53 Marowyne Drive, Toronto, ON M2J 2A6","Dishwasher,Balcony,Air Conditioning",2 baths,3 beds,"$3,600"
"23 Bailey Cres, Toronto, ON M1G 2P4",,https://www.zumper.com/address/23-bailey-cres-toronto-on-m1g-2p4-can,"23 Bailey Cres, Toronto, ON M1G 2P4","Onsite Management,Hardwood Floor,On Site Laundry",2 baths,3 beds,"$3,645"
"377 Hounslow Avenue, Toronto, ON M2R 1H7",,https://www.zumper.com/address/377-hounslow-ave-toronto-on-m2r-1h7-can,"377 Hounslow Avenue, Toronto, ON M2R 1H7","Hardwood Floor,Air Conditioning,In Unit Laundry",2 baths,3 beds,"$3,650"
"270 Dufferin St, Toronto, ON M6K 1Z7",,https://www.zumper.com/address/270-dufferin-st-toronto-on-m6k-1z7-can,"270 Dufferin St, Toronto, ON M6K 1Z7","Storage,Fitness Center,On Site Laundry",2 baths,3 beds,"$3,690"
"2004 Lawrence Ave W Frnt, Toronto, ON M9N 1H4",,https://www.zumper.com/address/2004-lawrence-ave-w-toronto-on-m9n-1h4-can,"2004 Lawrence Ave W Frnt, Toronto, ON M9N 1H4","Dishwasher,Onsite Management,Air Conditioning",2 baths,3 beds,"$3,695"
"286 Main St #517, Toronto, ON M4C 0B3",,https://www.zumper.com/address/286-main-st-toronto-on-m4c-0b3-can,"286 Main St #517, Toronto, ON M4C 0B3","Outdoor Space,Fitness Center,Residents Lounge",2 baths,3 beds,"$3,700"
"55 Mercer Street #306, Toronto, ON M5V 3W2",,https://www.zumper.com/address/55-mercer-st-toronto-on-m5v-3w2-can,"55 Mercer Street #306, Toronto, ON M5V 3W2","High Ceilings,Elevator,Storage",2 baths,3 beds,"$3,700"
